,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,MIN1,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,Season
179,203914,Gary Harris,1610612753,ORL,39,15,24,27.7,27.7,10843.33,2.05,1.07,0.98,4.26,4.36,4.15,2020-21
180,1627780,Gary Payton II,1610612744,GSW,10,7,3,4.04,4.04,1869.5,0.35,0.17,0.18,4.88,5.11,4.69,2020-21
181,1629018,Gary Trent Jr.,1610612761,TOR,58,29,29,31.07,31.07,11468.24,2.17,1.14,1.04,4.02,4.11,3.92,2020-21
182,201588,George Hill,1610612755,PHI,30,16,14,22.39,22.39,8726.4,1.65,0.91,0.75,4.16,4.46,3.85,2020-21
183,1627777,Georges Niang,1610612762,UTA,72,52,20,16.03,16.03,6549.18,1.24,0.68,0.56,4.37,4.84,3.9,2020-21
184,203507,Giannis Antetokounmpo,1610612749,MIL,61,40,21,33.0,33.0,12453.67,2.36,1.27,1.08,4.04,4.6,3.53,2020-21
185,203922,Glenn Robinson III,1610612758,SAC,23,9,14,16.06,16.06,6950.65,1.32,0.7,0.62,4.58,4.91,4.26,2020-21
186,1629048,Goga Bitadze,1610612754,IND,45,19,26,12.47,12.47,4979.18,0.94,0.49,0.45,4.21,4.55,3.92,2020-21
187,201609,Goran Dragic,1610612748,MIA,50,30,20,26.73,26.73,10683.5,2.02,1.13,0.89,4.25,4.76,3.74,2020-21
188,202330,Gordon Hayward,1610612766,CHA,44,24,20,34.0,34.0,13938.16,2.64,1.46,1.18,4.39,4.91,3.88,2020-21
189,203476,Gorgui Dieng,1610612759,SAS,38,14,24,14.55,14.55,5611.29,1.06,0.58,0.49,4.09,4.32,3.85,2020-21
190,1630203,Grant Riller,1610612766,CHA,7,2,5,3.89,3.89,1545.14,0.29,0.16,0.13,4.02,4.48,3.57,2020-21
191,1629684,Grant Williams,1610612738,BOS,63,30,33,18.06,18.06,7154.52,1.36,0.71,0.64,4.2,4.46,3.94,2020-21
192,1628960,Grayson Allen,1610612763,MEM,50,26,24,25.19,25.19,10326.86,1.96,1.05,0.91,4.38,4.7,4.04,2020-21
193,204222,Greg Whittington,1610612743,DEN,4,3,1,3.0,3.0,1271.75,0.24,0.15,0.1,4.56,5.13,3.91,2020-21
194,1628977,Hamidou Diallo,1610612765,DET,52,18,34,23.58,23.58,9578.75,1.81,0.98,0.84,4.31,4.63,4.0,2020-21
195,203084,Harrison Barnes,1610612758,SAC,58,25,33,36.25,36.25,14593.81,2.76,1.51,1.26,4.35,4.8,3.91,2020-21
196,1628385,Harry Giles III,1610612757,POR,38,23,15,9.15,9.15,3617.26,0.69,0.36,0.32,4.2,4.36,4.04,2020-21
197,202355,Hassan Whiteside,1610612758,SAC,36,16,20,15.16,15.16,5679.64,1.08,0.57,0.51,3.96,4.16,3.76,2020-21
198,1627740,Henry Ellenson,1610612761,TOR,2,0,2,19.18,19.18,8101.5,1.53,0.81,0.73,4.52,4.6,4.44,2020-21
199,1629649,Ignas Brazdeikis,1610612753,ORL,13,3,10,19.14,19.14,7697.46,1.46,0.82,0.64,4.46,4.94,3.93,2020-21
200,202697,Iman Shumpert,1610612751,BKN,2,1,1,5.49,5.49,2187.5,0.41,0.22,0.2,4.12,4.06,4.18,2020-21
201,1630193,Immanuel Quickley,1610612752,NYK,64,37,27,19.43,19.43,7943.58,1.5,0.83,0.68,4.35,4.66,4.03,2020-21
202,1629067,Isaac Bonga,1610612764,WAS,40,16,24,10.8,10.8,4386.58,0.83,0.42,0.41,4.33,4.55,4.12,2020-21
203,1630171,Isaac Okoro,1610612739,CLE,67,20,47,32.44,32.44,12762.46,2.42,1.27,1.15,4.21,4.32,4.1,2020-21
204,1628392,Isaiah Hartenstein,1610612739,CLE,46,20,26,12.15,12.15,4943.5,0.94,0.5,0.44,4.31,4.56,4.02,2020-21
205,1630198,Isaiah Joe,1610612755,PHI,41,22,19,9.34,9.34,3941.76,0.75,0.4,0.34,4.45,4.76,4.13,2020-21
206,1629676,Isaiah Roby,1610612760,OKC,61,19,42,23.37,23.37,9541.36,1.81,1.01,0.8,4.38,4.85,3.89,2020-21
207,1630191,Isaiah Stewart,1610612765,DET,68,20,48,21.39,21.39,8579.38,1.62,0.86,0.77,4.3,4.53,4.07,2020-21
208,202738,Isaiah Thomas,1610612740,NOP,3,1,2,16.09,16.09,5997.0,1.14,0.62,0.52,3.93,4.74,3.24,2020-21
209,202397,Ish Smith,1610612764,WAS,44,23,21,20.99,20.99,8788.14,1.66,0.9,0.77,4.44,4.97,3.95,2020-21
210,1627826,Ivica Zubac,1610612746,LAC,72,47,25,22.34,22.34,8747.01,1.66,0.9,0.75,4.17,4.46,3.87,2020-21
211,200755,JJ Redick,1610612742,DAL,44,22,22,16.44,16.44,6980.18,1.32,0.73,0.59,4.49,4.97,4.0,2020-21
212,1629630,Ja Morant,1610612763,MEM,63,33,30,32.59,32.59,12621.08,2.39,1.3,1.1,4.18,4.6,3.77,2020-21
213,203960,JaKarr Sampson,1610612754,IND,29,14,15,10.91,10.91,4583.34,0.87,0.45,0.42,4.43,4.82,4.08,2020-21
214,203210,JaMychal Green,1610612743,DEN,58,38,20,19.31,19.31,7413.07,1.4,0.76,0.64,4.1,4.33,3.86,2020-21
215,201580,JaVale McGee,1610612743,DEN,46,21,25,14.75,14.75,5565.57,1.05,0.57,0.48,4.0,4.22,3.78,2020-21
216,203953,Jabari Parker,1610612738,BOS,13,4,9,12.73,12.73,5235.77,0.99,0.55,0.44,4.36,4.78,3.93,2020-21
217,1630183,Jaden McDaniels,1610612750,MIN,63,18,45,23.98,23.98,10196.0,1.93,1.04,0.89,4.52,4.88,4.16,2020-21
218,203109,Jae Crowder,1610612756,PHX,60,42,18,27.47,27.47,10670.82,2.02,1.12,0.9,4.17,4.64,3.71,2020-21
219,1630256,Jae'Sean Tate,1610612745,HOU,70,17,53,29.18,29.18,11203.93,2.12,1.14,0.99,4.17,4.49,3.85,2020-21
220,1626143,Jahlil Okafor,1610612765,DET,27,5,22,12.86,12.86,4988.11,0.94,0.5,0.44,4.13,4.25,4.0,2020-21
221,1630186,Jahmi'us Ramsey,1610612758,SAC,13,5,8,7.27,7.27,2931.08,0.56,0.3,0.26,4.4,4.77,4.16,2020-21
222,1627774,Jake Layman,1610612750,MIN,45,12,33,13.94,13.94,5828.13,1.1,0.61,0.49,4.46,4.98,3.94,2020-21
223,1627751,Jakob Poeltl,1610612759,SAS,69,32,37,26.74,26.74,10761.75,2.04,1.09,0.95,4.39,4.67,4.1,2020-21
224,1628973,Jalen Brunson,1610612742,DAL,68,40,28,24.96,24.96,9994.68,1.89,1.05,0.85,4.29,4.61,3.96,2020-21
225,1630223,Jalen Harris,1610612761,TOR,13,3,10,13.24,13.24,5658.92,1.07,0.6,0.47,4.49,5.07,3.92,2020-21
226,1629665,Jalen Lecque,1610612754,IND,4,2,2,3.03,3.03,1320.25,0.25,0.15,0.1,4.29,4.81,3.71,2020-21
227,1629667,Jalen McDaniels,1610612766,CHA,47,18,29,19.23,19.23,8105.3,1.54,0.84,0.69,4.5,4.99,4.02,2020-21
228,1630188,Jalen Smith,1610612756,PHX,27,19,8,5.77,5.77,2415.89,0.46,0.25,0.21,4.46,4.81,4.03,2020-21
229,1627750,Jamal Murray,1610612743,DEN,48,31,17,35.49,35.49,13897.42,2.63,1.44,1.19,4.22,4.56,3.88,2020-21
230,203516,James Ennis III,1610612753,ORL,41,12,29,24.06,24.06,10070.0,1.91,1.03,0.88,4.46,4.74,4.18,2020-21
231,201935,James Harden,1610612751,BKN,44,31,13,36.56,36.56,12426.36,2.35,1.31,1.04,3.63,4.06,3.2,2020-21
232,201949,James Johnson,1610612740,NOP,51,21,30,20.45,20.45,7973.45,1.51,0.81,0.7,4.16,4.52,3.81,2020-21
233,203263,James Nunnally,1610612740,NOP,9,3,6,5.31,5.31,1836.33,0.35,0.18,0.16,4.15,4.25,4.05,2020-21
234,1630164,James Wiseman,1610612744,GSW,39,18,21,21.43,21.43,8697.18,1.65,0.86,0.79,4.42,4.79,4.1,2020-21
235,201162,Jared Dudley,1610612747,LAL,12,7,5,6.72,6.72,2393.75,0.45,0.25,0.2,3.99,4.25,3.71,2020-21
236,1629607,Jared Harper,1610612752,NYK,8,5,3,2.03,2.03,808.13,0.15,0.07,0.08,4.58,5.32,4.01,2020-21
237,1628991,Jaren Jackson Jr.,1610612763,MEM,11,4,7,23.49,23.49,9294.36,1.76,0.91,0.85,4.19,4.6,3.82,2020-21
238,1629020,Jarred Vanderbilt,1610612750,MIN,64,18,46,17.8,17.8,7607.16,1.44,0.77,0.67,4.53,4.9,4.17,2020-21
239,1629714,Jarrell Brantley,1610612762,UTA,28,23,5,4.94,4.94,1991.75,0.38,0.21,0.17,4.27,4.59,3.94,2020-21
240,1628386,Jarrett Allen,1610612739,CLE,63,20,43,29.58,29.58,11029.59,2.09,1.13,0.95,3.98,4.25,3.7,2020-21
241,1629633,Jarrett Culver,1610612750,MIN,34,7,27,14.68,14.68,5994.68,1.14,0.6,0.54,4.35,4.65,4.06,2020-21
242,1629750,Javonte Green,1610612741,CHI,41,19,22,11.55,11.55,4779.61,0.91,0.47,0.43,4.35,4.5,4.19,2020-21
243,1629637,Jaxson Hayes,1610612740,NOP,60,24,36,16.06,16.06,6331.2,1.2,0.63,0.57,4.17,4.43,3.92,2020-21
244,1630206,Jay Scrubb,1610612746,LAC,4,2,2,21.05,21.05,5986.5,1.13,0.59,0.54,4.13,4.29,4.17,2020-21
245,1629121,Jaylen Adams,1610612749,MIL,7,5,2,2.59,2.59,1046.86,0.2,0.12,0.08,4.26,4.19,4.36,2020-21
246,1627759,Jaylen Brown,1610612738,BOS,58,30,28,34.46,34.46,13405.55,2.54,1.36,1.18,4.13,4.45,3.81,2020-21
247,1629658,Jaylen Hoard,1610612760,OKC,19,1,18,16.82,16.82,6837.95,1.3,0.7,0.6,4.58,5.01,4.16,2020-21
248,1629669,Jaylen Nowell,1610612750,MIN,42,10,32,18.07,18.07,7466.86,1.41,0.75,0.67,4.38,4.72,4.05,2020-21
249,1628369,Jayson Tatum,1610612738,BOS,64,34,30,35.78,35.78,13376.64,2.53,1.39,1.14,3.97,4.33,3.61,2020-21
250,201145,Jeff Green,1610612751,BKN,68,44,24,26.99,26.99,9678.59,1.83,0.95,0.88,3.81,4.05,3.59,2020-21
251,201952,Jeff Teague,1610612749,MIL,55,27,28,17.27,17.27,6287.33,1.19,0.64,0.55,3.89,4.17,3.61,2020-21
252,203924,Jerami Grant,1610612765,DET,54,15,39,33.88,33.88,12828.26,2.43,1.38,1.05,4.09,4.48,3.67,2020-21
253,1629725,Jeremiah Martin,1610612739,CLE,9,0,9,8.35,8.35,3612.89,0.68,0.37,0.32,4.64,4.73,4.39,2020-21
254,203087,Jeremy Lamb,1610612754,IND,36,16,20,21.26,21.26,8530.78,1.62,0.87,0.75,4.27,4.66,3.9,2020-21
255,1629010,Jerome Robinson,1610612764,WAS,17,5,12,17.94,17.94,7725.65,1.46,0.77,0.69,4.62,5.06,4.18,2020-21
256,1628975,Jevon Carter,1610612756,PHX,60,42,18,11.94,11.94,4883.55,0.92,0.48,0.45,4.4,4.55,4.26,2020-21
257,202710,Jimmy Butler,1610612748,MIA,52,33,19,33.55,33.55,13128.23,2.49,1.32,1.17,4.18,4.44,3.91,2020-21
258,203925,Joe Harris,1610612751,BKN,69,45,24,31.04,31.04,12403.65,2.35,1.31,1.04,4.28,4.82,3.75,2020-21
259,204060,Joe Ingles,1610612762,UTA,67,47,20,27.86,27.86,10875.1,2.06,1.14,0.92,4.16,4.58,3.74,2020-21
260,203954,Joel Embiid,1610612755,PHI,51,39,12,31.08,31.08,11006.29,2.08,1.1,0.98,3.79,4.01,3.57,2020-21
261,1628381,John Collins,1610612737,ATL,63,34,29,29.33,29.33,11627.84,2.2,1.18,1.02,4.24,4.54,3.93,2020-21
262,1629723,John Konchar,1610612763,MEM,43,23,20,13.37,13.37,5723.74,1.08,0.58,0.51,4.53,4.77,4.29,2020-21
263,202322,John Wall,1610612745,HOU,40,12,28,32.2,32.2,11197.65,2.12,1.14,0.98,3.72,4.01,3.43,2020-21
264,202685,Jonas Valanciunas,1610612763,MEM,62,32,30,28.31,28.31,10403.63,1.97,1.03,0.94,4.01,4.23,3.79,2020-21
265,1629007,Jontay Porter,1610612763,MEM,11,7,4,4.91,4.91,1805.73,0.34,0.19,0.16,4.02,4.21,3.62,2020-21
266,1628395,Jordan Bell,1610612744,GSW,6,3,3,13.65,13.65,5431.83,1.03,0.56,0.47,4.28,4.43,3.98,2020-21
267,1629648,Jordan Bone,1610612753,ORL,14,2,12,13.99,13.99,5557.5,1.05,0.58,0.47,4.22,4.54,3.89,2020-21
268,203903,Jordan Clarkson,1610612762,UTA,68,49,19,26.73,26.73,11052.65,2.09,1.16,0.93,4.43,4.89,3.96,2020-21
269,1629162,Jordan McLaughlin,1610612750,MIN,51,15,36,18.39,18.39,7842.73,1.49,0.81,0.67,4.56,5.04,4.08,2020-21
270,1629670,Jordan Nwora,1610612749,MIL,30,19,11,9.12,9.12,3725.47,0.71,0.37,0.33,4.3,4.72,3.88,2020-21
271,1629673,Jordan Poole,1610612744,GSW,51,28,23,19.37,19.37,7601.63,1.44,0.8,0.64,4.21,4.74,3.72,2020-21
272,1630182,Josh Green,1610612742,DAL,39,20,19,11.4,11.4,4937.85,0.94,0.5,0.44,4.61,4.86,4.35,2020-21
273,1630221,Josh Hall,1610612760,OKC,21,2,19,16.0,16.0,5977.0,1.13,0.61,0.52,4.34,4.73,3.96,2020-21
274,1628404,Josh Hart,1610612740,NOP,47,21,26,28.71,28.71,11674.19,2.21,1.18,1.03,4.31,4.63,3.99,2020-21
275,1628367,Josh Jackson,1610612765,DET,62,16,46,25.15,25.15,9950.35,1.88,1.02,0.87,4.27,4.55,3.97,2020-21
276,1629006,Josh Okogie,1610612750,MIN,59,21,38,20.28,20.28,8189.54,1.55,0.78,0.77,4.29,4.35,4.24,2020-21
277,1626196,Josh Richardson,1610612742,DAL,59,35,24,30.33,30.33,11953.98,2.26,1.22,1.04,4.28,4.52,4.03,2020-21
278,201950,Jrue Holiday,1610612749,MIL,59,41,18,32.32,32.32,12942.37,2.45,1.3,1.15,4.27,4.75,3.85,2020-21
279,1629308,Juan Toscano-Anderson,1610612744,GSW,53,28,25,20.9,20.9,8772.66,1.66,0.88,0.78,4.48,4.96,4.04,2020-21
280,1627823,Juancho Hernangomez,1610612750,MIN,52,19,33,17.31,17.31,7245.48,1.37,0.73,0.64,4.46,4.83,4.09,2020-21
281,203944,Julius Randle,1610612752,NYK,71,40,31,37.56,37.56,13982.9,2.65,1.48,1.17,3.99,4.34,3.61,2020-21
282,203200,Justin Holiday,1610612754,IND,72,34,38,30.32,30.32,12419.31,2.35,1.25,1.1,4.35,4.78,3.95,2020-21
283,1628382,Justin Jackson,1610612749,MIL,34,12,22,16.97,16.97,6708.94,1.27,0.69,0.58,4.22,4.55,3.89,2020-21
284,1629713,Justin James,1610612758,SAC,36,15,21,8.62,8.62,3601.72,0.68,0.35,0.33,4.44,4.6,4.25,2020-21
285,1628383,Justin Patton,1610612745,HOU,13,1,12,18.98,18.98,7405.46,1.4,0.74,0.67,4.17,4.44,3.94,2020-21
286,1629620,Justin Robinson,1610612760,OKC,9,0,9,9.75,9.75,4077.78,0.77,0.43,0.34,4.45,4.91,3.99,2020-21
287,1626159,Justise Winslow,1610612763,MEM,26,13,13,19.5,19.5,7591.77,1.44,0.75,0.69,4.31,4.63,4.01,2020-21
288,203994,Jusuf Nurkic,1610612757,POR,37,22,15,23.79,23.79,9030.89,1.71,0.91,0.8,4.08,4.34,3.81,2020-21
289,1629752,Juwan Morgan,1610612762,UTA,29,24,5,5.07,5.07,1988.93,0.38,0.21,0.17,4.17,4.45,3.86,2020-21
290,1629644,KZ Okpala,1610612748,MIA,37,22,15,12.08,12.08,4879.57,0.92,0.48,0.45,4.32,4.54,4.1,2020-21
291,1630211,Karim Mane,1610612753,ORL,10,2,8,8.83,8.83,3747.6,0.71,0.38,0.33,4.47,4.67,4.26,2020-21
292,1626157,Karl-Anthony Towns,1610612750,MIN,50,19,31,33.78,33.78,12254.84,2.32,1.23,1.09,3.86,4.11,3.61,2020-21
293,202695,Kawhi Leonard,1610612746,LAC,52,36,16,34.09,34.09,13135.58,2.49,1.37,1.12,4.12,4.41,3.8,2020-21
294,1628966,Keita Bates-Diop,1610612759,SAS,30,13,17,8.16,8.16,3246.53,0.61,0.33,0.29,4.31,4.56,4.05,2020-21
295,1629103,Kelan Martin,1610612754,IND,35,16,19,9.22,9.22,3761.14,0.71,0.37,0.35,4.27,4.79,3.83,2020-21
296,1629640,Keldon Johnson,1610612759,SAS,69,32,37,28.52,28.52,11303.52,2.14,1.16,0.98,4.29,4.57,4.0,2020-21
297,1629833,Keljin Blevins,1610612757,POR,17,11,6,4.41,4.41,1933.0,0.37,0.2,0.17,4.66,4.89,4.44,2020-21
298,203482,Kelly Olynyk,1610612745,HOU,70,26,44,28.53,28.53,11374.2,2.15,1.18,0.98,4.27,4.66,3.87,2020-21
299,1626162,Kelly Oubre Jr.,1610612744,GSW,55,27,28,30.68,30.68,12379.8,2.34,1.19,1.16,4.36,4.61,4.13,2020-21
300,202689,Kemba Walker,1610612738,BOS,43,22,21,31.85,31.85,12425.51,2.35,1.31,1.04,4.16,4.66,3.66,2020-21
301,1629134,Kendrick Nunn,1610612748,MIA,56,31,25,29.47,29.47,11434.32,2.17,1.19,0.98,4.16,4.58,3.74,2020-21
302,1629026,Kenrich Williams,1610612760,OKC,66,21,45,21.61,21.61,8905.61,1.69,0.9,0.79,4.39,4.67,4.1,2020-21
303,203145,Kent Bazemore,1610612744,GSW,67,35,32,19.9,19.9,8117.28,1.54,0.79,0.75,4.37,4.65,4.12,2020-21
304,203484,Kentavious Caldwell-Pope,1610612747,LAL,67,39,28,28.39,28.39,11053.76,2.09,1.08,1.01,4.15,4.24,4.05,2020-21
305,1630231,Kenyon Martin Jr.,1610612745,HOU,45,10,35,23.73,23.73,9157.6,1.73,0.91,0.83,4.11,4.33,3.9,2020-21
306,201142,Kevin Durant,1610612751,BKN,35,23,12,33.05,33.05,12063.31,2.28,1.23,1.05,3.91,4.37,3.48,2020-21
307,1628989,Kevin Huerter,1610612737,ATL,69,40,29,30.81,30.81,12128.55,2.3,1.23,1.06,4.2,4.47,3.92,2020-21
308,1628995,Kevin Knox II,1610612752,NYK,42,26,16,11.06,11.06,4377.71,0.83,0.44,0.39,4.25,4.49,4.01,2020-21
309,201567,Kevin Love,1610612739,CLE,25,7,18,24.89,24.89,8760.08,1.66,0.91,0.75,3.78,4.01,3.51,2020-21
310,1629645,Kevin Porter Jr.,1610612745,HOU,26,4,22,32.13,32.13,12464.85,2.36,1.27,1.09,4.14,4.45,3.84,2020-21
311,1626172,Kevon Looney,1610612744,GSW,61,34,27,19.03,19.03,7188.69,1.36,0.7,0.66,4.07,4.34,3.82,2020-21
312,203920,Khem Birch,1610612761,TOR,67,23,44,22.82,22.82,9233.0,1.75,0.93,0.82,4.3,4.53,4.08,2020-21
313,203114,Khris Middleton,1610612749,MIL,68,45,23,33.36,33.36,13199.51,2.5,1.34,1.16,4.23,4.72,3.77,2020-21
314,1629017,Khyri Thomas,1610612745,HOU,5,1,4,30.59,30.59,12224.8,2.32,1.2,1.11,4.29,4.66,3.95,2020-21
315,1630165,Killian Hayes,1610612765,DET,26,6,20,25.78,25.78,10414.58,1.97,1.1,0.87,4.32,4.7,3.9,2020-21
316,1629681,Killian Tillie,1610612763,MEM,18,11,7,10.1,10.1,4152.11,0.79,0.42,0.37,4.37,4.66,4.02,2020-21
317,1630184,Kira Lewis Jr.,1610612740,NOP,54,23,31,16.75,16.75,6986.3,1.32,0.72,0.6,4.47,4.95,3.99,2020-21
318,1628961,Kostas Antetokounmpo,1610612747,LAL,15,6,9,3.72,3.72,1409.6,0.27,0.14,0.12,4.1,4.49,3.92,2020-21
319,1627739,Kris Dunn,1610612737,ATL,4,1,3,11.35,11.35,4651.75,0.88,0.46,0.43,4.27,4.33,4.21,2020-21
320,204001,Kristaps Porzingis,1610612742,DAL,43,26,17,30.85,30.85,10971.84,2.08,1.14,0.94,3.91,4.18,3.62,2020-21
321,203937,Kyle Anderson,1610612763,MEM,69,36,33,27.35,27.35,10601.01,2.01,1.06,0.95,4.18,4.5,3.89,2020-21
322,1629657,Kyle Guy,1610612758,SAC,31,11,20,7.59,7.59,3302.29,0.63,0.33,0.29,4.6,5.0,4.21,2020-21
323,1628398,Kyle Kuzma,1610612747,LAL,68,40,28,28.74,28.74,11582.19,2.19,1.16,1.03,4.28,4.47,4.07,2020-21
324,200768,Kyle Lowry,1610612761,TOR,46,15,31,34.82,34.82,12817.63,2.43,1.32,1.11,3.9,4.36,3.46,2020-21
325,202681,Kyrie Irving,1610612751,BKN,54,36,18,34.93,34.93,12999.69,2.46,1.32,1.14,3.98,4.38,3.6,2020-21
326,200746,LaMarcus Aldridge,1610612751,BKN,26,15,11,25.94,25.94,9510.46,1.8,0.97,0.84,3.93,4.13,3.72,2020-21
327,1630163,LaMelo Ball,1610612766,CHA,51,23,28,28.8,28.8,12273.75,2.32,1.26,1.06,4.54,5.04,4.06,2020-21
328,1630205,Lamar Stevens,1610612739,CLE,40,13,27,12.47,12.47,5075.5,0.96,0.5,0.46,4.3,4.52,4.07,2020-21
329,1629013,Landry Shamet,1610612751,BKN,61,39,22,22.99,22.99,9568.18,1.81,1.0,0.81,4.45,5.03,3.9,2020-21
330,204038,Langston Galloway,1610612756,PHX,40,29,11,10.94,10.94,4551.3,0.86,0.47,0.39,4.44,4.73,4.15,2020-21
331,1626204,Larry Nance Jr.,1610612739,CLE,35,13,22,31.18,31.18,11894.11,2.25,1.22,1.03,4.06,4.25,3.86,2020-21
332,1628374,Lauri Markkanen,1610612741,CHI,51,20,31,25.83,25.83,10372.57,1.96,1.1,0.87,4.3,4.77,3.82,2020-21
333,2544,LeBron James,1610612747,LAL,45,30,15,33.42,33.42,11244.07,2.13,1.15,0.98,3.58,3.88,3.29,2020-21
334,1629022,Lonnie Walker IV,1610612759,SAS,60,28,32,25.36,25.36,9750.65,1.85,0.99,0.86,4.15,4.37,3.93,2020-21
335,1628366,Lonzo Ball,1610612740,NOP,55,23,32,31.77,31.77,12740.27,2.41,1.32,1.09,4.3,4.75,3.85,2020-21
336,101150,Lou Williams,1610612737,ATL,66,44,22,21.56,21.56,7897.18,1.5,0.83,0.67,3.89,4.26,3.51,2020-21
337,1629663,Louis King,1610612758,SAC,6,3,3,14.22,14.22,5929.0,1.12,0.61,0.51,4.43,4.77,4.21,2020-21
338,1629652,Luguentz Dort,1610612760,OKC,52,18,34,29.68,29.68,11406.81,2.16,1.16,1.0,4.12,4.4,3.84,2020-21
339,1629029,Luka Doncic,1610612742,DAL,66,40,26,34.28,34.28,12227.61,2.32,1.33,0.99,3.87,4.35,3.38,2020-21
340,1629677,Luka Samanic,1610612759,SAS,33,14,19,9.34,9.34,3957.55,0.75,0.41,0.34,4.51,4.94,4.08,2020-21
341,1628379,Luke Kennard,1610612746,LAC,63,44,19,19.56,19.56,7632.84,1.45,0.8,0.65,4.22,4.52,3.88,2020-21
342,1628436,Luke Kornet,1610612738,BOS,31,13,18,11.21,11.21,4395.48,0.83,0.46,0.37,4.2,4.7,3.74,2020-21
343,1630201,Malachi Flynn,1610612761,TOR,47,21,26,19.73,19.73,8001.87,1.52,0.81,0.7,4.3,4.61,3.99,2020-21
344,1627763,Malcolm Brogdon,1610612754,IND,56,27,29,34.46,34.46,13653.05,2.59,1.44,1.14,4.21,4.77,3.65,2020-21
345,1627736,Malik Beasley,1610612750,MIN,37,8,29,32.81,32.81,13396.76,2.54,1.44,1.1,4.33,4.84,3.81,2020-21
346,1630238,Malik Fitts,1610612746,LAC,3,3,0,3.61,3.61,1457.0,0.28,0.15,0.13,4.01,3.52,4.67,2020-21
347,1628370,Malik Monk,1610612766,CHA,42,19,23,20.91,20.91,8362.9,1.58,0.89,0.7,4.25,4.8,3.72,2020-21
348,1629603,Mamadi Diakite,1610612749,MIL,14,7,7,10.07,10.07,4093.07,0.78,0.39,0.38,4.26,4.62,3.88,2020-21
349,201188,Marc Gasol,1610612747,LAL,52,32,20,19.1,19.1,6613.38,1.25,0.65,0.6,3.71,3.82,3.59,2020-21
350,202694,Marcus Morris Sr.,1610612746,LAC,57,38,19,26.35,26.35,9640.84,1.83,0.97,0.86,3.88,4.06,3.69,2020-21
351,203935,Marcus Smart,1610612738,BOS,48,24,24,32.94,32.94,12235.65,2.32,1.24,1.07,3.95,4.3,3.62,2020-21
352,1628365,Markelle Fultz,1610612753,ORL,8,6,2,26.9,26.9,11345.25,2.15,1.17,0.98,4.53,5.1,4.0,2020-21
353,202693,Markieff Morris,1610612747,LAL,61,32,29,19.67,19.67,7060.9,1.34,0.69,0.64,3.82,3.93,3.71,2020-21
354,1630210,Markus Howard,1610612743,DEN,37,24,13,5.54,5.54,2330.86,0.44,0.25,0.19,4.4,4.81,3.97,2020-21
355,1629716,Marques Bolden,1610612739,CLE,6,2,4,4.77,4.77,1904.83,0.36,0.19,0.17,4.28,4.34,3.85,2020-21
356,1627737,Marquese Chriss,1610612744,GSW,2,0,2,13.36,13.36,5429.0,1.03,0.57,0.46,4.39,4.65,3.72,2020-21
357,1628963,Marvin Bagley III,1610612758,SAC,43,20,23,25.86,25.86,10461.7,1.98,1.03,0.95,4.46,4.76,4.17,2020-21
358,1630222,Mason Jones,1610612755,PHI,32,10,22,10.45,10.45,4264.41,0.81,0.45,0.36,4.48,4.95,4.04,2020-21
